dni,nia,id_modul,nota
22007781R,18002434,0485,10.00
09367179S,85178973,0369,10.00
59563235C,85166921,CV0004,10.00
62743941X,88601876,0493,10.00
01727468F,65113807,0615,10.00
62743941X,88601876,0492,10.00
99183139D,10975073,0369,10.00
62743941X,88601876,0489,10.00
31706976G,21559409,CV0003,10.00
62743941X,88601876,0486,10.00
49503629Q,77012526,0228,10.00
16797542K,54609382,CV0004,10.00
62743941X,88601876,0484,10.00
62743941X,88601876,0483,10.00
02064836B,88116101,0613,10.00
02064836B,88116101,0487,10.00
59563235C,85166921,0615,10.00
14514060W,87998070,0380,10.00
59563235C,85166921,0613,10.00
35889533B,52798440,0486,10.00
77096917C,74129757,0487,10.00
81994632T,37481786,CV0003,10.00
14514060W,87998070,0371,10.00
59563235C,85166921,0612,10.00
23739356K,87457454,0381,10.00
15197187Y,86488312,0485,10.00
49365149L,23164278,0222,10.00
16652999X,52943988,0221,10.00
49365149L,23164278,0224,10.00
59563235C,85166921,0483,10.00
77426839F,68453101,CV0004,10.00
49365149L,23164278,0226,10.00
15197187Y,86488312,0373,10.00
49365149L,23164278,0228,10.00
49365149L,23164278,0229,10.00
59005153X,86162105,CV0004,10.00
36186605S,31821835,0222,10.00
49365149L,23164278,CV0001,10.00
59005153X,86162105,0495,10.00
36186605S,31821835,0224,10.00
26630865Q,23687805,0222,10.00
59005153X,86162105,0483,10.00
34946481M,85624618,0485,10.00
36186605S,31821835,0227,10.00
34764603B,51176958,0378,10.00
10890313C,12507685,0485,10.00
34764603B,51176958,0382,10.00
34764603B,51176958,0376,10.00
36186605S,31821835,0230,10.00
34764603B,51176958,CV0003,10.00
36186605S,31821835,0231,10.00
48279581M,82237117,CV0001,10.00
54454160G,56628159,0377,10.00
36186605S,31821835,CV0002,10.00
28407690E,57096888,0371,10.00
48279581M,82237117,0222,10.00
94197901K,72313554,CV0004,10.00
23944826D,24699333,0228,10.00
12010031Y,67988417,0615,10.00
28407690E,57096888,0372,10.00
12010031Y,67988417,0614,10.00
49575723M,51626375,0221,10.00
94197901K,72313554,0380,10.00
28407690E,57096888,0380,10.00
84321270G,48633790,0493,10.00
28407690E,57096888,CV0003,10.00
76594503H,54550890,0614,10.00
94197901K,72313554,0376,10.00
01727468F,65113807,0619,10.00
76594503H,54550890,0612,10.00
60041427L,81551216,0486,10.00
60057431S,40197095,CV0003,10.00
37819043M,48475131,0231,10.00
67599262P,13963624,0371,10.00
67599262P,13963624,0372,10.00
98008852X,67549723,0493,10.00
31888025C,25744507,0230,10.00
01780605Z,67028663,CV0003,10.00
37819043M,48475131,0222,10.00
67599262P,13963624,0377,10.00
